modern,original
But I have the meantime .,The interim's mine .
the privileges of your worth frees you from obligations,the charter of thy worth gives thee releasing
You don't need eyes to see how the world works .,A man may see how this world goes with no eyes .
"And when I get my reward , I'll get out of here .","And when I have my meed , I will away , For this will out , and then I must not stay ."
"Captain Macmorris , when we have more leisure , see , I will be so bold as to show you I know about the practice of warfare , and that's that .","Captain Macmorris , when there is more better opportunity to be required , look you , I will be so bold as to tell you I know the disciplines of war , and there is an end ."
what a frightening thought where alas,o fearful meditation where alack
"Yes , from top to bottom , sir .","My lord , from head to foot ."
"No , your words are too precious to be wasted on dogs .","No , thy words are too precious to be cast away upon curs ."
So then why should I offer this womanish defense that I'm innocent ?,"Why then , alas , Do I put up that womanly defense , To say I have done no harm ?"
"What a poor instrument , that can do such a noble deed !",What poor an instrument May do a noble deed !
"And so , good morning to all of you .",And so good morrow to you every one .
Listen .,Hark .
"All your talents and gifts didn't arouse as much envy from him as this one quality did , though to me it's far from your best attribute .","Now must your conscience my acquaintance seal , And you must put me in your heart for friend , Sith you have heard , and with a knowing ear , That he which hath your noble father slain Pursued my life ."
"You knew that my sword , weakened by my love for you , would obey that love no matter what .","You did know How much you were my conqueror , and that My sword , made weak by my affection , would Obey it on all cause ."
As long as heaven and nature extend it .,As long as heaven and nature lengthens it .
"Around nine o'clock , madam .","About the ninth hour , lady ."
and they will live on and in them he will still be green,and they shall live and he in them still green
So tell me what's been going on .,"And therefore , I pray thee , news ."
"Definitely a tailor , sir .","Ay , a tailor , sir ."
I assure you he can .,Be assured you may .
I wish there was less social pressure to drink .,I could well wish courtesy would invent some other custom of entertainment .
"Ah , good old Kent said this would happen , that poor , banished man .","Ah , that good Kent , He said it would be thus , poor banished man ."
"She will have a seat , you heard my daughter tell you how .","She will sit you , you heard my daughter tell you how ."
others are only the caretakers of their virtues,others but stewards of their excellence
Take off my armor .,"Off , pluck off !"
I will go out .,And Caesar shall go forth .
My heart is thirsty for that noble promise .,My heart is thirsty for that noble pledge .
Will you come with me ?,"Come , will you go with me ?"
You think I'm kidding .,Thou thinkest I am in sport .
"Oh , I hate looking at his face now !","Oh , how mine eyes do loathe his visage now !"
"Do you want to go hunting , my lord ?","Will you go hunt , my lord ?"
Why do you care that he loves Hermia ?,What though he love your Hermia ?
He's going after a young widow .,"I ' faith , he'll have a lusty widow now That shall be wooed and wedded in a day ."
They let God see things they wouldn't show their husbands .,In Venice they do let God see the pranks They dare not show their husbands .
Is he enough of a man to wear a hat and grow a beard ?,Is his head worth a hat or his chin worth a beard ?
"We're not saying anything treasonous , man .","We speak no treason , man ."
if the true harmony of welltuned sounds,if the true concord of welltuned sounds
Will you play this recorder ?,Will you play upon this pipe ?
I put my trust in you .,"I will lay trust upon thee , and thou shalt find a dearer father in my love ."
"It's not lost , but what if it were ?","It is not lost , but what and if it were ?"
"Doesn't a Jew have hands , bodily organs , a human shape , five senses , feelings , and passions ?","Hath not a Jew hands , organs , dimensions , senses , affections , passions ?"
"Mistress , I swear on my life that it's true .","Mistress , upon my life I tell you true ."
the best cure against strange diseases,against strange maladies a sovereign cure
"And so , my words and thoughts will be at odds .",My tongue and soul in this be hypocrites .
soon allowing the darkest clouds to ride,anon permit the basest clouds to ride
"You might just as well say , ""That's a valiant flea that dares to eat its breakfast on the lip of a lion."" Yes , exactly .","You may as well say , that's a valiant flea that dare eat his breakfast on the lip of a lion ."
"Go tell the priests to perform a sacrifice immediately , and bring me their interpretation of the results .",Go bid the priests do present sacrifice And bring me their opinions of success .
"No , you won't die yourself , but only by proxy .","No , faith , die by attorney ."
"Come , Romeo .","Come , Romeo ."
"If , then , that friend demands to know why I rose up against Caesar , this is my answer : it's not that I loved Caesar less , but that I loved Rome more .","If then that friend demand why Brutus rose against Caesar , this is my answer : not that I loved Caesar less , but that I loved Rome more ."
"A thin face , which you don't have ; a sleepless , sunken eye , which you don't have ; an irritable temper , which you don't have ; a neglected beard , which you don't have , but that might not be so telling , since you don't have much beard anyway .","A lean cheek , which you have not ; a blue eye and sunken , which you have not ; an unquestionable spirit , which you have not ; a beard neglected , which you have not , but I pardon you for that , for simply your having in beard is a younger brother's revenue ."
"See that it is done , and prepare a feast for the soldiers .",See it done And feast the army .
God bless you for being here .,God 'ild you for your last company .
Go on .,Go .
"Hello , everyone !","The goodness of the night upon you , friends !"
and damage his heavenly face,with ugly rack on his celestial face
when love converted from the thing that it was,when love converted from the thing it was
You think you can get rid of me that easily ?,Canst thou so daff me ?
Your words are idiotic .,The text is foolish .
What's this !,How now ?
"Age won't wither her , and her charms are so varied that she never grows boring .","Age can not wither her , nor custom stale Her infinite variety ."
"Wear both the ring and my heart , because both are yours .","Wear both of them , for both of them are thine ."
"I believe you are , Regan .","Regan , I think you are ."
my heart and eyes have been unable to see the truth,in things right true my heart and eyes have erred
"Why didn't you say ""the swift steps"" of time instead of the ""lazy foot"" ?",And why not the swift foot of time ?
I wish you were what I wanted you to be !,I would you were as I would have you be !
"We will wait on you , your majesty .",We wait upon your Grace .
"Give it to my wife , and get your money .","Why , give it to my wife , and fetch your money ."
I'll keep my promise just as if you really were Rosalind .,With no less religion than if thou wert indeed my Rosalind .
"I want you to live , since to me , death is happiness .","I'd have thee live , For in my sense 'tis happiness to die ."
You pretty lovers are lucky you met me here .,"Fair lovers , you are fortunately met ."
Away with the doddering fool !,Away with the dotard !
"Oh , wouldn't it be great if property , rank , official positions , and other honors were earned only by merit , not by corruption ?","Oh , that estates , degrees and offices Were not derived corruptly , and that clear honor Were purchased by the merit of the wearer !"
"I'll go on with my speech praising you , and then I'll get to the point .",I will on with my speech in your praise and then show you the heart of my message .
and so are you and you are made worthy by it,so dost thou too and therein dignified
Young boys and girls are equal to men .,Young boys and girls Are level now with men .
"If you can't remember the stupidest little thing love made you do , you haven't loved .","If thou rememb'rest not the slightest folly That ever love did make thee run into , Thou hast not loved ."
the wrinkles which your mirror shows,the wrinkles which thy glass will truly show
"On , on , you noblest Englishmen , descended as you are from battle-tested fathers , fathers who , like so many Alexander the Greats , have fought in these regions from morning until night , sheathing their swords only when there was no one left to fight .","On , on , you noblest English , Whose blood is fet from fathers of war-proof , Fathers that , like so many Alexanders , Have in these parts from morn till even fought And sheathed their swords for lack of argument ."
But you still wish the gods had made me poetical ?,Do you wish then that the gods had made me poetical ?
We'll put a leash on this danger that's now running wild .,"For we will fetters put upon this fear , Which now goes too free-footed ."
"Lights , lights , get us some lights !","Lights , lights , lights !"
He's without equal !,"How , the nonpareil !"
"This is what it's all about , Please , I beg you , No , my lord , I'm comfortable like this , thank you .","Sir , this is the matter , I beseech you , remember , Nay , good my lord , for mine ease , in good faith ."
He followed you .,He followed you .
"In a time like this , it doesn't make sense to criticize every offense .",In such a time as this it is not meet That every nice offense should bear his comment .
"Oh , help me , anyone who wants to live long !","He that will think to live till he be old , Give me some help !"
"How can I help you , sir ?",What would my lord ?
"The king has been informed of all their plans , but they have no idea .","The king hath note of all that they intend , By interception which they dream not of ."
What do you want ?,What do you here ?
You have impatience all over your face .,"Fie , how impatience loureth in your face ."
How did you learn about this ?,How came you to this ?
What a worthy man !,Worthy gentleman !
"Don't keep anything back , I insist .","Detain no jot , I charge thee ."
Come with me .,"Come , go with me ."
"Well sir , they've lied ; moreover , they have said things that were not true ; secondarily , they are slanderers ; sixth and lastly , they have falsely accused a lady ; thirdly , they have confirmed things that did not in fact happen ; and , in conclusion , they are lying scoundrels .","Marry , sir , they have committed false report ; moreover , they have spoken untruths ; secondarily , they are slanders ; sixth and lastly , they have belied a lady ; thirdly , they have verified unjust things ; and , to conclude , they are lying knaves ."
"Twenty-five , sir .","Five-and-twenty , sir ."
That's what's driving her crazy .,That's her torment .
I definitely will .,"Nay , I will do so ."
"I'm sending you to England on diplomatic business , and Hamlet will go with you .","I your commission will forthwith dispatch , And he to England shall along with you ."
"It is not destiny's fault , but our own faults , that we're slaves .","The fault , dear Brutus , is not in our stars But in ourselves , that we are underlings ."
"You're perfect , without a rival in the world , made up of the best qualities of every creature .","But you , O you , So perfect and so peerless , are created Of every creature's best ."
from where do you get this power to make ugly things beautiful,whence hast thou this becoming of things ill
"Listen , listen !","Hark , hark !"
It was urgent and important enough to require his personal presence .,"Something he left imperfect in the state which , since his coming forth , is thought of ; which imports to the kingdom so much fear and danger that his personal return was most required and necessary ."
in order to make beautiful truth cover such a foul face,to put fair truth upon so foul a face
see how one string like a sweet husband to another,mark how one string sweet husband to another
I'm afraid that I wrong the honorable men whose daggers have stabbed Caesar .,I fear I wrong the honorable men Whose daggers have stabbed Caesar .
Why has all this been put on the table ?,"Why is this ""impawned , "" as you call it ?"
"Gave me , sir ?","To me , sir ?"
She was previously Caius Marcellus' wife .,She was the wife of Caius Marcellus .
"Not that we love words more than fighting , like you do .","Not that we love words better , as you do ."
"When I could see , I didn't always see clearly .",I stumbled when I saw .
the beauty that you effortlessly possess now,even such a beauty as you master now
"In order to find a mother and a brother , I too have lost myself , unhappily .","So I , to find a mother and a brother , In quest of them , unhappy , lose myself ."
"When he opens his wallet to give us our pay , your conscience will fly out ?","So when he opens his purse to give us our reward , thy conscience flies out ."
"Didn't you send Lysander , as an insult , to follow me around praising my eyes and my face ?","Have you not set Lysander , as in scorn , To follow me and praise my eyes and face ?"
"You and I , Kate , we are the makers of custom , and the freedom that goes with our position silences all who would criticize , as I will silence you for upholding the prudish custom of your country in refusing me a kiss .","We are the makers of manners , Kate , and the liberty that follows our places stops the mouth of all find- faults , as I will do yours for upholding the nice fashion of your country in denying me a kiss ."
Open your gates .,Open your gates .
Now come along .,Come your ways .
"All right then , legitimate brother Edgar , I have to have your lands .","Well then , Legitimate Edgar , I must have your land ."
are burying your beauty within an unused bud,within thine own bud buriest thy content
"What do you have to say , noble friend ?","What say'st thou , noble heart ?"
"Your children caused you trouble in your youth , but mine will bring you comfort in your old age .","Your children were vexation to your youth , But mine shall be a comfort to your age ."
Horns ?,Horns ?
Othello isn't any of those things .,All which the Moor is defective in .
before these illegitimate signs of beauty were born,before these bastard signs of fair were born
you should make preparations against this coming end,against this coming end you should prepare
What's the news abroad ?,What news abroad ?
You're a natural-born philosopher !,Such a one is a natural philosopher .
"I order you , speak !","I charge thee , speak !"
"It's a good thing I'm like a little pot and warm up quickly , or else my lips themselves would freeze and stick to my teeth , my tongue to the roof of my mouth , and my heart would freeze in my belly , before I managed to get thawed out .","Now , were not I a little pot and soon hot , my very lips might freeze to my teeth , my tongue to the roof of my mouth , my heart in my belly , ere I should come by a fire to thaw me ."
It's the devil speaking through him .,The devil speaks in him .
"Until then , think about the well-being of Rome .","Till then , think of the world ."
And that's what you want me to do !,And that you would have me to do !
But I'm as noble as my opponent .,Yet am I noble as the adversary I come to cope withal .
why should hate be housed in your beauty instead of noble love,shall hate be fairer lodged than gentle love
"Oh , that most wicked fiend !",O most wicked fiend !
Me too .,Nor I .
"Still , I'd hate to see my former dreams return .",But I would be loath to fall into my dreams again .
How dare I ?,"Oh , I am undone , I am undone !"
if it changes when it encounters any changes,which alters when it alteration finds
I'm critical by nature .,"Come on , assay ."
"It used to be that when you knocked a man's brains out he would just die , and that would be it .","The time has been That , when the brains were out , the man would die , And there an end ."
Where's Peaseblossom ?,Where's Peaseblossom ?
You're doing the right thing .,You are in the right .
You feel love because you feel lust and you have no willpower .,It is merely a lust of the blood and a permission of the will .
What are you doing here in Elsinore ?,But what is your affair in Elsinore ?
I won't bother with it .,I'll not meddle with it .
"Your friends at Pomfret , they're the ones who need a priest .","Your friends at Pomfret , they do need the priest ; Your Honor hath no shriving work in hand ."
My arm is sore .,My arm is sore .
"Or was it just your whim , on your own initiative ?",Is it your own inclining ?
"Oh , that bird from hell !",O hell-kite !
We want to hear Caesar's will .,We will hear Caesar's will .
I'll watch this play .,I will hear that play .
"Otherwise , forgive me , but if you should die before him , what becomes of her dowry ?","If you should die before him , where's her dower ?"
It has the mark of,"It hath the primal eldest curse upon 't , A brother's murder ."
Set the honorable old man down and let him eat .,"Set down your venerable burden , And let him feed ."
Your highness will have to force me to tell .,I would your grace would constrain me to tell .
"Oh , wait , sir .","O soft , sir !"
"I've got her now , but I've got God to thank for it !","I have limed her , but it is Jove's doing , and Jove make me thankful !"
"Not very well , but I've met him several times .","Not very well , but I have met him oft , And he hath bought the cottage and the bounds That the old carlot once was master of ."
"Yes , like your horse , who , staggering under your boasts , would trot more easily if some of them dismounted .","Ev'n as your horse bears your praises , who would trot as well were some of your brags dismounted ."
What ?,Horrible sight !
Leave me alone .,Let me alone .
"And if it doesn't go well , then you can keep her hidden in a nunnery , the best place for someone with her kind of dirtied reputation , away from the public's eyes , tongues , mind , and insults .","And if it sort not well , you may conceal her , As best befits her wounded reputation , In some reclusive and religious life , Out of all eyes , tongues , minds , and injuries ."
"All I wanted to tell you is that the lantern is the moon , I'm the man in the moon , this thornbush is my thornbush , and this dog is my dog .","All that I have to say is to tell you that the lanthorn is the moon ; I , the man in the moon ; this thornbush , my thornbush ; and this dog , my dog ."
"In Algiers , sir .","Sir , in Argier ."
It's a subject as worthy of endless discussion as the changing sea .,It is a theme as fluent as the sea .
That he was never trained as a soldier .,That he was never trained up in arms .
I can see in your eyes there's been some good news .,I know by that same eye there's some good news .
"Anyway , go tell your master I am here .","Go therefore , tell thy master : here I am ."
"She's a perfect woman , it's true .",She is indeed perfection .
"To invite my former boss , the Jew , to dine tonight with my new master , the Christian .","Marry , sir , to bid my old master the Jew to sup tonight with my new master the Christian ."
What does a crocodile look like ?,What manner o' thing is your crocodile ?
The handkerchief !,The handkerchief !
"Lead those away who will follow you , and we'll explain publicly the reasons for Caesar's death .","Those that will follow Cassius , go with him , And public reasons shall be rendered Of Caesar's death ."
triumph in love and the flesh doesnt wait any longer,triumph in love flesh stays no farther reason
Do you dare kill a friend of mine ?,Dar'st thou resolve to kill a friend of mine ?
"Do it well , and then leave us .",Bear thee well in it and leave us alone .
Hail to your majesty .,Hail to your grace .
"But if you had to say something nice about me , what would you say ?","What wouldst thou write of me , if thou should'st praise me ?"
I remember his face well .,That face of his I do remember well .
"Now , Death , you can boast that you have an incomparable girl in your possession .","Now boast thee , Death , in thy possession lies A lass unparalleled ."
you are the pleasure of a quicklypassing year,from thee the pleasure of the fleeting year
who did not provide me with better life,that did not better for my life provide
"Father , take pity on him .","Sir , have pity , I'll be his surety ."
And yet I would have made her happy had our luck not been so bad .,"In Syracusa was I born , and wed Unto a woman happy but for me , And by me , had not our hap been bad ."
"What does she say , madam interpreter ?","Madam my interpreter , what says she ?"
"He did , my lord .","He had , my lord , and when he ran in here , These people saw the chain about his neck ."
"While I stood spellbound , messengers from the king arrived and greeted me as the thane of Cawdor , which is precisely how the weird sisters had saluted me before calling me 'the future king !","Thou'ld'st have , great Glamis , That which cries , ""Thus thou must do , "" if thou have it , And that which rather thou dost fear to do , Than wishest should be undone ."
"Oh luck , luck .","O fortune , fortune !"
Then by all means never let her walk in public .,Let her not walk i ' th ' sun .
"If the Turkish fleet isn't protected in some harbor , their men must all be drowned .","If that the Turkish fleet Be not ensheltered and embayed , they are drowned ."
pull out the sharp teeth from the fierce tigers jaws,pluck the keen teeth from the fierce tiger's jaws
"I'll take comfort in my books and music , reading and practicing my instruments .","My books and instruments shall be my company , On them to look and practice by myself ."
"Day and night , hour after hour , all the time , at work , at play , alone , in company , my top priority has always been to find her a husband .","Day , night , hour , tide , time , work , play , Alone , in company , still my care hath been To have her matched ."
Boy !,Boy !
"Quickly , quickly , good Iras , quickly .","Yare , yare , good Iras , quick ."
The boy is warning me that someone approaches .,The boy gives warning something doth approach .
"If you refuse to allow me to do so , your city's charter and its freedom are endangered .","If you deny it , let the danger light Upon your charter and your city's freedom ."
when i count the chimes of the clock that tells the time,when i do count the clock that tells the time
We came here to fight against you .,We came hither to fight with you .
"I nursed her daughter , whom you were just talking to .",I nursed her daughter that you talked withal .
"You talk like a child , but you're very smart anyway .","Thou speak'st with all thy wit ; and yet , i ' faith , With wit enough for thee ."
How can they refuse to speak with me ?,Deny to speak with me ?
What a wise judge !,"Most learned judge , a sentence !"
"It doesn't make either of us happy , I know .",I know it pleaseth neither of us well .
Command this man to leave .,Command him away .
I'll head to France soon .,"A dire induction am I witness to , And will to France , hoping the consequence Will prove as bitter , black , and tragical ."
We'll meet again at nine in the morning .,At nine i ' th ' morning here we'll meet again .
This is not the time for dwelling on personal grievances .,Tis not a time for private stomaching .
They're in the heat of passion ; they simply have to be together .,"They are in the very wrath of love , and they will together ."
"That's not a job for a friend , my lord .","That's not an office for a friend , my lord ."
to hear through the eyes is a skill that belongs to loves intelligence,to hear with eyes belongs to love's fine wit
"You know , if you were anyone other than Brutus , that speech would be your last .","You know that you are Brutus that speak this , Or , by the gods , this speech were else your last ."
"Yes , I do .","I dare avouch it , sir ."
I like singing .,"I take pleasure in singing , sir ."
But not so nice when women misbehave .,But a harsh hearing when women are froward .
Don't let the Nurse stay with you in your bedroom .,Let not the Nurse lie with thee in thy chamber .
"Look , I don't love you , so stop following me around .","I love thee not , therefore pursue me not ."
why does the world say that it is not so,what means the world to say it is not so
Why are you enraged ?,Why art thou angry ?
Meet me at the palace as soon as possible .,Meet presently at the palace .
"I did too , and he also swore he would marry her tonight .","So did I too , and he swore he would marry her tonight ."
"The day will come when you'll wish I could help you cast spells against this poisonous , hunchbacked toad .",The day will come that thou shalt wish for me To help thee curse that poisonous bunch-backed toad .
"Where are you , Demetrius , you arrogant bastard ?","Where art thou , proud Demetrius ?"
"Friends , go .","Friends , begone ."
Watch me like a hawk .,Watch me like Argus .
"I'll get your goats , Audrey .","I will fetch up your goats , Audrey ."
"Look , here comes someone who loves me , along with someone who loves her .","Look , here comes a lover of mine and a lover of hers ."
Isn't that the reason you told me all this ?,Was 't not to this end That thou began'st to twist so fine a story ?
And now it looks like you need my help .,"Well then , it now appears you need my help ."
What's he talking about ?,"Alas , what does this gentleman conceive ?"
I answered that Lepidus had become too brutal and abused his position .,"I have told him , Lepidus was grown too cruel , That he his high authority abused And did deserve his change ."
my love is the same today and the same tomorrow,kind is my love today tomorrow kind
"Draw the curtains , just like that .","Draw the curtains , so , so , so ."
"My dear clever Ariel , listen carefully .","My quaint Ariel , Hark in thine ear ."
"I haven't come to steal your loyalty , friends .","I come not , friends , to steal away your hearts ."
Any strange beast there can be considered a man .,Any strange beast there makes a man .
Don't shed even one tear .,"Fall not a tear , I say ."
This choice was as foolish as they are .,"There be fools alive , iwis , Silvered o'er , and so was this ."
"By the way , if I were to compose an extra speech of twelve to sixteen lines and stick it into the play , you could learn it by heart for tomorrow , right ?","You could , for a need , study a speech of some dozen or sixteen lines which I would set down and insert in 't , could you not ?"
Who is this fool ?,What fool is this ?
"Yes , he knew about it the whole time .","He did , from first to last ."
"He is as full of courage as of kindness , princely in both .","He is as full of valor as of kindness , Princely in both ."
But why should my reputation for honor last longer than my honor did ?,But why should honor outlive honesty ?
I showed it to you once .,The herb I showed thee once .
Don't say anything else .,Talk no more .
I can justify that better than you can justify sleeping with Portia's African servant .,I shall answer that better to the commonwealth than you can the getting up of the Negro's belly .
"You can't have anything but the penalty , to be taken at your peril , Jew .","Thou shalt have nothing but the forfeiture To be so taken at thy peril , Jew ."
Unfaithful ?,Disloyal ?
Why are you telling me this ?,"Why , why is this ?"
Your speech is more refined than I would expect in such a remote place as this .,Your accent is something finer than you could purchase in so removed a dwelling .
Now you know the reason for the rush .,Now do you know the reason of this haste .
Where's your conscience now ?,Where's thy conscience now ?
I know my rights .,I know my remedy .
"I intend to be flesh and blood , not airy philosophy , for there has never yet been a philosopher who could endure a toothache patiently , even though they all write as if they had risen above human suffering and misfortune .","I will be flesh and blood , For there was never yet philosopher That could endure the toothache patiently , However they have writ the style of gods And made a push at chance and sufferance ."
You can see for yourself .,Thyself shalt see the act .
"The servants , the duke , and your daughter all seem to be treating you less kindly .","There's a great abatement of kindness appears as well in the general dependants as in the duke himself also , and your daughter ."
"You've done a good job , that other men can attribute their murders to you !","You have done well , That men must lay their murders on your neck ."
Doesn't my wit suit me well ?,Doth not my wit become me rarely ?
This is amazing .,You amaze me .
"Oh , I'm out of breath from this foolish chase .","Oh , I am out of breath in this fond chase ."
Every one of us is a criminal .,"We are arrant knaves , all ."
"Come here , herald. , Let the trumpet sound ! , Read this out .","Come hither , herald. , Let the trumpet sound , , And read out this ."
I can't love him .,I can not love him .
That's how Claudio will respond .,So will it fare with Claudio .
"Well , so-so .","Faith , sir , so-so ."
and taught it to greet me in a different way,and taught it thus anew to greet
Be silent and go in .,"No noise , and enter ."
I'll read it aloud .,I'll read the writing .
"If you look closely at Alexander's life , Harry of Monmouth's stands up fairly well by comparison , for there are analogies in everything .","If you mark Alexander's life well , Harry of Monmouth's life is come after it indifferent well , for there is figures in all things ."
i dare not be so bold to say that they are wrong,to say they err i dare not be so bold
"Driven ? "" Really ?","Moved , "" in good time ."
Where are you all off to ?,Whither away ?
He swears he used to be a courtier .,"He hath been a courtier , he swears ."
Get up .,Up so .
"I've done everything you accuse me of , and more , much more .","What you have charged me with , that have I done , And more , much more ."
Sad or happy ?,"Looked he or red or pale , or sad or merrily ?"
"Reluctantly , I agreed-alas !","Unwilling , I agreed ."
"Please , just wait a minute .","Nay , I prithee stay a little ."
"If he's ready now , so am I .",They follow the king's pleasure .
Come on .,Come .
Have I done something to offend you without knowing it ?,"Alas , what ignorant sin have I committed ?"
"But I have to remember that I'm here on Earth , where doing evil is often praised , and doing good is sometimes a stupid and dangerous mistake .","But I remember now I am in this earthly world , where to do harm Is often laudable , to do good sometime Accounted dangerous folly ."
That's Enobarbus ?,Enobarbus ?
"They left me and my servant there , tied together .",But had he such a chain of thee or no ?
Certainly .,Most sure and vulgar .
"Nurse , will you come with me to my closet and help me pick out the clothes and the jewelry I'll need to wear tomorrow ?","Nurse , will you go with me into my closet To help me sort such needful ornaments As you think fit to furnish me tomorrow ?"
Then there's the Count Palatine .,Then there is the County Palatine .
Poor Tom has been scared out of his mind .,Poor Tom hath been scared out of his good wits .
You can see how it is all around .,"The plainsong"" is most just , for humors do abound ."
"Dear Bassanio , my ships have all been wrecked .","Sweet Bassanio , my ships have all miscarried ."
"If my eyes aren't deceiving me , goodbye , love .","If sight and shape be true , Why then , my love adieu ."
That's the only witchcraft I ever used .,This only is the witchcraft I have used .
"My father's studying hard , so he won't see you .",My father Is hard at study .
That's true .,"Good , i ' faith ."
I can tell that something wicked is coming by the tingling in my thumbs .,"By the pricking of my thumbs , Something wicked this way comes ."
The kind that tells you that the Moor is having sex with your daughter right now .,"I am one , sir , that comes to tell you your daughter and the Moor are now making the beast with two backs ."
You were supposed to be proving that there isn't time for everything .,You would all this time have proved there is no time for all things .
But now I must condemn it .,"Being done unknown , I should have found it afterwards well done , But must condemn it now ."
Why are you bothering this poor man !,How vexest thou this man !
A Roman .,A Roman .
self to love your self so much would be a sin,self so selfloving were iniquity
Listen to Antony .,Hear Antony .
How are things going now ?,"How goes the world , sir , now ?"
Stay right here and try to look good .,"Stand here , make a good show on 't ."
A tailor made you .,A tailor made thee .
But you're no such man .,But you are no such man .
"Rage on , blow !","Rage , blow !"
These recent eclipses of the sun and moon don't bode well for us .,These late eclipses in the sun and moon portend no good to us .
He's been in an unusually good mood and has granted many gifts to your household and servants .,"He hath been in unusual pleasure , and Sent forth great largess to your offices ."
and his beauty will be proved because he is your son,proving his beauty by succession thine
I've decided on a plan that doesn't require your assistance .,I have myself resolved upon a course Which has no need of you .
"Her father loved me and used to invite me to his house often , continually asking me about my life and all the battles I've fought .","Her father loved me , oft invited me , Still questioned me the story of my life From year to year , the battles , sieges , fortunes , That I have passed ."
Let's go back to our bedroom .,Retire we to our chamber .
How could I honorably give him what I've already given you ?,How with mine honor may I give him that Which I have given to you ?
Hey out there !,"What ho , the Emperor's guard !"
"I saw her buried in her family's tomb , and then I came here to tell you the news .",I saw her laid low in her kindred's vault And presently took post to tell it you .
I put it in the pocket of my nightgown .,I put it in the pocket of my gown .
"There ! , And over there ! , And over there !","There could I have him now , and there , and there again , and there ."
Holy Franciscan Friar !,Holy Franciscan Friar !
"And here he comes , puffing himself up like a turkey .","Why , here he comes , swelling like a turkey-cock ."
Sport ?,Sport ?
"To save her life , I'll say she doesn't .","To save her life , I'll say she is not so ."
"Speak , Pyramus. , Thisbe , come forward .","Speak , Pyramus. , Thisbe , stand forth ."
"When I ran into this holy man , those men you mentioned did come to mind , in fact .","Good faith , and when I met this holy man , The men you talk of came into my mind ."
"All right , stop this .","Pray you , no more of this ."
That's what the Prince and my fiance say .,So says the Prince and my new-trothed lord .
which in their desires seem bad what i think is good,which in their wills count bad what i think good
Are those my tents on fire ?,Are those my tents where I perceive the fire ?
unless they maintain this universal maxim,unless this general evil they maintain
It's a capital offense for anyone from Mantua to come to Padua .,Tis death for anyone in Mantua To come to Padua .
What's the matter ?,What's the matter ?
I guess you don't want it .,"Nay , then thou lov'st it not And all my pains is sorted to no proof ."
Men tend to be at their most irresponsible when they're away from home .,"We never valued this poor seat of England And therefore , living hence , did give ourself To barbarous license , as 'tis ever common That men are merriest when they are from home ."
"Unless I've mistaken his battle flags , which I'm sure I haven't , his regiment lies at least half a mile south of the king's mighty army .","Unless I have mista'en his colors much , Which well I am assured I have not done , His regiment lies half a mile , at least , South from the mighty power of the king ."
Beware of March 15th .,Beware the ides of March .
in you wasteful time debates with decay,where wasteful time debateth with decay
"Come on , boy .","Come , boy ."
Do you have anything else to tell me ?,Have you no more to say ?
and in the strength of my love i become weak,and in mine own love's strength seem to decay
Lean forward .,Lend thine ear .
There's my hat !,There's my cap .
and my soul and every part of my body,and all my soul and all my every part
Thank you .,I know he loves me well .
"Come here , monster , put some glue on your fingers , and carry away the rest of these clothes for us .","Monster , come , put some lime upon your fingers , and away with the rest ."
My cousin means Signior Benedick of Padua .,My cousin means Signor Benedick of Padua .
How will you get proof ?,"How satisfied , my lord ?"
what acceptable account of yourself can you leave behind,what acceptable audit canst thou leave
"But listen to me , Gratiano .","But hear thee , Gratiano ."
"Yes , ma'am , we have .","Mistress , we have ."
He has his moods and his ways .,He passes some humors and careers .
"Control yourself , my precious Queen , and concede that my love is true .","My precious Queen , forbear , And give true evidence to his love which stands An honorable trial ."
"As for this slave , Iago , if we can think of any torture that will hurt him a lot but keep him alive a long time , he'll have it .","For this slave , If there be any cunning cruelty That can torment him much and hold him long , It shall be his ."
What time is it ?,How's the day ?
"You told me to do the same , my liege .","So did you me , my liege ."
Time to buy myself a mirror and employ a few dozen tailors to dress me up in the current fashions .,I'll be at charges for a looking glass And entertain a score or two of tailors To study fashions to adorn my body .
than the sound of the surly funeral bell that you hear,than you shall hear the surly sullen bell
Follow them straight to the cottage .,Not to be endured .
"My lord , when I arrived at their home I gave them your letter .","My lord , when at their home I did commend your highness ' letters to them ."
He'll tell them so .,He shall tell them so .
"This is all that's left for me to do , but I won't do it .","Yet this I will not do , do how I can ."
"Then keep your vow , fellow , when you meet the man .","Then keep thy vow , sirrah , when thou meet'st the fellow ."
"Please , sir , have patience .","I do beseech you , sir , have patience ."
I was not angry since I came to France until this instant .,I was not angry since I came to France Until this instant .
how can i then be older than you are,how can i then be elder than thou art
I'm locked in one of them .,I am locked in one of them .
"But I'll go out of spite , to feed off the wasteful Christian. , Jessica , my girl , watch the house .","But yet I'll go in hate to feed upon The prodigal Christian. , Jessica , my girl , Look to my house ."
what wretched mistakes my heart has committed,what wretched errors hath my heart committed
You'd better knock louder .,You were best knock louder .
Rome has lost the ability to raise noble men !,"Rome , thou hast lost the breed of noble bloods !"
"I put those wedding sheets on your bed , as you asked .",I have laid those sheets you bade me on the bed .
Good lord !,"Oh , the heavens !"
